board;x_value_1;x_value_2;x_value_3;x_value_4;x_value_5;x_value_6;x_value_7;x_value_8;x_value_9;o_value_1;o_value_2;o_value_3;o_value_4;o_value_5;o_value_6;o_value_7;o_value_8;o_value_9
[1, -1, 0, 1, 1, -1, 0, -1, 0];0;0;1.109999993;0;0;0;1;0;1;0;0;1.0101;0;0;0;1;0;1
[1, -1, 0, 1, -1, 1, 0, -1, 0];0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0
[1, -1, 0, 1, -1, -1, 0, 1, 0];0;0;0.554115711;0;0;0;1;0;0.672568529;0;0;1;0;0;0;1;0;1
[1, -1, 0, -1, 1, 1, 0, -1, 0];0;0;1.109999999;0;0;0;1.109999963;0;1;0;0;1.0101;0;0;0;1.0101;0;1
[1, -1, 0, -1, 1, -1, 0, 1, 0];0;0;1.109999933;0;0;0;1.109999999;0;1;0;0;1.010100331;0;0;0;1.010100276;0;0.999999995
[1, -1, 0, -1, -1, 1, 0, 1, 0];0;0;0.558917483;0;0;0;0.757843157;0;1.109999999;0;0;0.465296575;0;0;0;0.513935221;0;1.170103755
[-1, 1, 0, 1, 1, -1, 0, -1, 0];0;0;0.530869928;0;0;0;0.496469273;0;0;0;0;1.0E-323;0;0;0;1.0E-323;0;0
[-1, 1, 0, 1, -1, 1, 0, -1, 0];0;0;-0.098156094;0;0;0;-0.457642269;0;0.627807497;0;0;-0.022955096;0;0;0;-0.663813306;0;0.466660096
[-1, 1, 0, 1, -1, -1, 0, 1, 0];0;0;-0.499489335;0;0;0;0.334422521;0;0.312170592;0;0;-0.589738463;0;0;0;-0.079248123;0;0.5748249
[-1, 1, 0, -1, 1, 1, 0, -1, 0];0;0;0.09575846;0;0;0;0.557127861;0;-0.53663591;0;0;-1.2;0;0;0;1.79E-234;0;-1.2
[-1, 1, 0, -1, -1, 1, 0, 1, 0];0;0;-1.099999989;0;0;0;-0.128755943;0;0.476053555;0;0;-1.116111453;0;0;0;-0.165228187;0;-0.136696808
[-1, -1, 0, 1, 1, -1, 0, 1, 0];0;0;0.503432256;0;0;0;-0.079195188;0;-0.748305111;0;0;6.19E-182;0;0;0;-1.2;0;-1.2
[-1, -1, 0, 1, -1, 1, 0, 1, 0];0;0;0.495793939;0;0;0;-1.099999978;0;0.012712622;0;0;-0.059133137;0;0;0;-1.132556612;0;-0.095146824
[-1, -1, 0, -1, 1, 1, 0, 1, 0];0;0;0.175598362;0;0;0;-0.05137313;0;-1.099999997;0;0;-0.144991357;0;0;0;-0.095499606;0;-1.128771907
[1, 1, 0, 1, -1, -1, -1, 0, 0];0;0;1;0;0;0;0;0.002931935;0.408719769;0;0;0.999153016;0;0;0;0;-0.156102201;-0.174791885
[1, 1, 0, -1, 1, -1, -1, 0, 0];0;0;1;0;0;0;0;1;1;0;0;0.999776055;0;0;0;0;0.999722476;0.999915601
[1, 1, 0, -1, -1, 1, -1, 0, 0];0;0;1;0;0;0;0;0.285280571;-0.072254058;0;0;0.993335065;0;0;0;0;-0.062425885;-0.185271102
[1, 1, 0, -1, -1, -1, 1, 0, 0];0;0;0;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;0;0;0
[1, -1, 0, 1, 1, -1, -1, 0, 0];0;0;0.488438043;0;0;0;0;0.675474691;1;0;0;0.520798312;0;0;0;0;0.49820828;0.998917421
[1, -1, 0, 1, -1, 1, -1, 0, 0];0;0;-0.110692882;0;0;0;0;-0.619819378;-1.099999982;0;0;-0.692164555;0;0;0;0;-0.676952479;-1.135744259
[1, -1, 0, -1, 1, 1, -1, 0, 0];0;0;0.494889754;0;0;0;0;0.804767462;1;0;0;0.532769897;0;0;0;0;0.52309255;0.998888083
[1, -1, 0, -1, 1, -1, 1, 0, 0];0;0;1;0;0;0;0;1.11;1;0;0;0.99989157;0;0;0;0;1.016718965;0.999069076
[1, -1, 0, -1, -1, 1, 1, 0, 0];0;0;-0.58495919;0;0;0;0;0.499389705;0.467034624;0;0;-0.627747163;0;0;0;0;0.470108654;-0.18219722
[-1, 1, 0, 1, 1, -1, -1, 0, 0];0;0;0.663212416;0;0;0;0;1;0.640115833;0;0;0.517729869;0;0;0;0;0.996837424;0.494894747
[-1, 1, 0, 1, -1, 1, -1, 0, 0];0;0;0.066329578;0;0;0;0;-1.099999998;0.270817213;0;0;-0.126482213;0;0;0;0;-1.131358642;-0.305461813
[-1, 1, 0, 1, -1, -1, 1, 0, 0];0;0;-0.490483194;0;0;0;0;-0.319660345;0.566364111;0;0;-0.632372415;0;0;0;0;-0.191379371;0.351140396
[-1, 1, 0, -1, 1, 1, -1, 0, 0];-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0
[-1, 1, 0, -1, 1, -1, 1, 0, 0];0;0;1;0;0;0;0;1;1.109999885;0;0;0.999997808;0;0;0;0;0.999997746;1.010288026
[-1, 1, 0, -1, -1, 1, 1, 0, 0];0;0;0.054351966;0;0;0;0;0.270936525;1.109999998;0;0;0.037466771;0;0;0;0;-0.215652153;1.167548374
[-1, -1, 0, 1, 1, -1, 1, 0, 0];0;0;1;0;0;0;0;0.102057492;0.153557437;0;0;0.998809282;0;0;0;0;-0.112258101;-0.121039526
[-1, -1, 0, 1, -1, 1, 1, 0, 0];0;0;-1.099999997;0;0;0;0;-1.099999994;-1.099999979;0;0;-1.2;0;0;0;0;-1.2;-1.2
[-1, -1, 0, -1, 1, 1, 1, 0, 0];0;0;1;0;0;0;0;0.122840179;-0.147723192;0;0;0.996614957;0;0;0;0;-0.1474857;-0.22601282
[1, 1, -1, 0, 0, 0, 1, -1, -1];0;0;0;1;-0.377019508;0.619189749;0;0;0;0;0;0;0.998882445;-0.606808027;0.448097923;0;0;0
[1, 1, -1, 0, 0, 0, -1, 1, -1];0;0;0;-1.099999999;1;-0.10927141;0;0;0;0;0;0;-1.113628091;0.998714687;0.053817754;0;0;0
[1, 1, -1, 0, 0, 0, -1, -1, 1];0;0;0;-0.035335634;1;0.741013167;0;0;0;0;0;0;-0.072059842;0.998122123;-0.124984268;0;0;0
[1, -1, 1, 0, 0, 0, 1, -1, -1];0;0;0;1;1;0.034952821;0;0;0;0;0;0;0.995642776;0.996168056;-0.122964855;0;0;0
[1, -1, 1, 0, 0, 0, -1, 1, -1];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[1, -1, 1, 0, 0, 0, -1, -1, 1];0;0;0;0.567197828;1;1;0;0;0;0;0;0;-0.191508244;0.999149666;0.997752617;0;0;0
[1, -1, -1, 0, 0, 0, 1, 1, -1];0;0;0;1;-0.298196305;0.630880322;0;0;0;0;0;0;0.997385299;-0.638127886;0.519271732;0;0;0
[1, -1, -1, 0, 0, 0, 1, -1, 1];0;0;0;1;1;-0.45156734;0;0;0;0;0;0;0.998226169;0.999578629;-0.064186631;0;0;0
[1, -1, -1, 0, 0, 0, -1, 1, 1];0;0;0;0.36496672;1;0.440355128;0;0;0;0;0;0;-0.224593122;0.996515751;-0.33021369;0;0;0
[-1, 1, 1, 0, 0, 0, 1, -1, -1];0;0;0;-0.173421487;1;0.271346733;0;0;0;0;0;0;-0.158407584;0.998841312;-0.140878787;0;0;0
[-1, 1, 1, 0, 0, 0, -1, 1, -1];0;0;0;0.180273852;1;-1.099999975;0;0;0;0;0;0;-0.170577694;0.999247633;-1.135884761;0;0;0
[-1, 1, 1, 0, 0, 0, -1, -1, 1];0;0;0;0.496280825;-0.753851903;1;0;0;0;0;0;0;0.434282045;-0.583620751;0.997460096;0;0;0
[-1, 1, -1, 0, 0, 0, 1, 1, -1];0;0;0;-1.099999994;1;0.56512461;0;0;0;0;0;0;-1.120740452;0.993184011;-0.191386357;0;0;0
[-1, 1, -1, 0, 0, 0, 1, -1, 1];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[-1, 1, -1, 0, 0, 0, -1, 1, 1];0;0;0;-0.07067027;1;-1.099999995;0;0;0;0;0;0;-0.295536292;0.999089521;-1.147860409;0;0;0
[-1, -1, 1, 0, 0, 0, 1, 1, -1];0;0;0;0.212961518;1;-0.365881399;0;0;0;0;0;0;-0.177251758;0.999023781;0.057213108;0;0;0
[-1, -1, 1, 0, 0, 0, 1, -1, 1];0;0;0;0.31055942;1;1;0;0;0;0;0;0;-0.091426196;0.998006796;0.99869588;0;0;0
[-1, -1, 1, 0, 0, 0, -1, 1, 1];0;0;0;0.589181279;-0.498277943;1;0;0;0;0;0;0;0.472784526;-0.696239255;0.994443836;0;0;0
[1, 1, -1, 0, 0, 1, 0, -1, -1];0;0;0;-0.289325758;-0.261463336;0;0.452729227;0;0;0;0;0;-0.009982144;-0.644364882;0;0.574825253;0;0
[1, 1, -1, 0, 0, -1, 0, 1, -1];0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1
[1, 1, -1, 0, 0, -1, 0, -1, 1];0;0;0;1.109999998;1;0;1.109999859;0;0;0;0;0;1.010127715;0.999999292;0;1.010108233;0;0
[1, -1, 1, 0, 0, 1, 0, -1, -1];0;0;0;-1.099999874;-0.031165749;0;-0.084258818;0;0;0;0;0;-1.135357032;-0.038612636;0;-0.213434158;0;0
[1, -1, 1, 0, 0, -1, 0, 1, -1];0;0;0;0.547772545;0.533251877;0;1.11;0;0;0;0;0;0.999989082;0.999979835;0;1.010105467;0;0
[1, -1, 1, 0, 0, -1, 0, -1, 1];0;0;0;0.626608633;1;0;-0.1763823;0;0;0;0;0;-0.159479332;0.998416136;0;-0.14185696;0;0
[1, -1, -1, 0, 0, 1, 0, 1, -1];0;0;0;1.10999999;0.542418454;0;0.52910719;0;0;0;0;0;1.185949085;0.434583606;0;0.479618048;0;0
[1, -1, -1, 0, 0, 1, 0, -1, 1];0;0;0;0.188523713;1;0;0.004039115;0;0;0;0;0;-0.053314725;0.997113402;0;-0.165233787;0;0
[1, -1, -1, 0, 0, -1, 0, 1, 1];0;0;0;1.109999999;1;0;1;0;0;0;0;0;1.010100128;0.999999999;0;0.999999995;0;0
[-1, 1, 1, 0, 0, 1, 0, -1, -1];0;0;0;-1.099999991;-0.073759478;0;-0.054046333;0;0;0;0;0;-1.124974363;-0.096318904;0;-0.001943102;0;0
[-1, 1, 1, 0, 0, -1, 0, 1, -1];0;0;0;0.293339093;1;0;0.056056819;0;0;0;0;0;-0.208372908;0.999421519;0;-0.012397326;0;0
[-1, 1, 1, 0, 0, -1, 0, -1, 1];0;0;0;0;0.616600556;0;0.564601147;0;0;0;0;0;0;0.506090961;0;0.532590555;0;0
[-1, 1, -1, 0, 0, 1, 0, 1, -1];0;0;0;0.303244052;1;0;-0.226352899;0;0;0;0;0;-0.151852023;0.997670706;0;-0.185183278;0;0
[-1, 1, -1, 0, 0, 1, 0, -1, 1];0;0;0;0.361858116;0.43200614;0;0;0;0;0;0;0;0.482246377;0.468359778;0;0;0;0
[-1, 1, -1, 0, 0, -1, 0, 1, 1];0;0;0;1.109999997;1;0;1;0;0;0;0;0;1.011036649;0.999955172;0;0.999986195;0;0
[-1, -1, 1, 0, 0, 1, 0, 1, -1];0;0;0;-0.160138938;1.109999984;0;0.485131214;0;0;0;0;0;-0.234713358;1.179954893;0;-0.180869844;0;0
[-1, -1, 1, 0, 0, -1, 0, 1, 1];0;0;0;0.75168315;0.720774038;0;1;0;0;0;0;0;0.578831367;0.560517802;0;0.995001177;0;0
[-1, -1, -1, 0, 0, 1, 0, 1, 1];-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;0;0
[1, 1, -1, 0, 0, 1, -1, 0, -1];0;0;0;-1.1;0.625226288;0;0;0.470901589;0;0;0;0;-1.125929102;-0.172466256;0;0;-0.111966773;0
